File,Source,Year,Ceremony,Category,Nominee (Person),Title,Winner
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Screenplay - Motion Picture,"Eric Roth, Martin Scorsese",Killers of the Flower Moon,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2023,81,Best Screenplay - Motion Picture,Tony McNamara,Poor Things,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Motion Picture - Drama,,The Brutalist,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Anora,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Emilia Perez,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Motion Picture - Musical or Comedy,,The Substance,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Adrien Brody,The Brutalist,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Karla Sofia Gascon,Emilia Perez,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mikey Madison,Anora,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Demi Moore,The Substance,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Director - Motion Picture,Jacques Audiard,Emilia Perez,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Director - Motion Picture,Sean Baker,Anora,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Director - Motion Picture,Brady Corbet,The Brutalist,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Director - Motion Picture,Coralie Fargeat,The Substance,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Screenplay - Motion Picture,Jacques Audiard,Emilia Perez,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Screenplay - Motion Picture,Sean Baker,Anora,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Screenplay - Motion Picture,"Brady Corbet, Mona Fastvold",The Brutalist,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2024,82,Best Screenplay - Motion Picture,Coralie Fargeat,The Substance,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Motion Picture - Drama,,Hamnet,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Motion Picture - Drama,,Sentimental Value,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Motion Picture - Drama,,Sinners,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Motion Picture - Musical or Comedy,,One Battle After Another,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Jessie Buckley,Hamnet,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Renate Reinsve,Sentimental Value,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Michael B. Jordan,Sinners,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Chase Infiniti,One Battle After Another,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,One Battle After Another,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Director - Motion Picture,Paul Thomas Anderson,One Battle After Another,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Director - Motion Picture,Ryan Coogler,Sinners,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Director - Motion Picture,Joachim Trier,Sentimental Value,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Director - Motion Picture,Chloe Zhao,Hamnet,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Screenplay - Motion Picture,Paul Thomas Anderson,One Battle After Another,TRUE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Screenplay - Motion Picture,Ryan Coogler,Sinners,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Screenplay - Motion Picture,"Eskil Vogt, Joachim Trier",Sentimental Value,FALSE
goldenglobes2015_2025 - golden-globe-awards-csv-2.csv,golden globes,2025,83,Best Screenplay - Motion Picture,"Chloe Zhao, Maggie O'Farrell",Hamnet,FALSE
