source,year,ceremony,category,nominee (person),title,winner
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Charlize Theron,Tully,FALSE
golden globes,2018,76,Best Motion Picture - Musical or Comedy,,Vice,FALSE
golden globes,2018,76,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,Vice,TRUE
golden globes,2018,76,Best Director - Motion Picture,Adam McKay,Vice,FALSE
golden globes,2018,76,Best Screenplay - Motion Picture,Adam McKay,Vice,FALSE
golden globes,2018,76,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,"Wife, The",TRUE
golden globes,2019,77,Best Motion Picture - Drama,,1917,TRUE
golden globes,2019,77,Best Director - Motion Picture,Sam Mendes,1917,TRUE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Bombshell,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Beanie Feldstein,Booksmart,FALSE
golden globes,2019,77,Best Motion Picture - Musical or Comedy,,Dolemite Is My Name,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Eddie Murphy,Dolemite Is My Name,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Awkwafina,"Farewell, The",TRUE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Drama,Christian Bale,Ford v Ferrari,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Drama,Cynthia Erivo,Harriet,FALSE
golden globes,2019,77,Best Motion Picture - Drama,,"Irishman, The",FALSE
golden globes,2019,77,Best Director - Motion Picture,Martin Scorsese,"Irishman, The",FALSE
golden globes,2019,77,Best Screenplay - Motion Picture,Steven Zaillian,"Irishman, The",FALSE
golden globes,2019,77,Best Motion Picture - Musical or Comedy,,Jojo Rabbit,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roman Griffin Davis,Jojo Rabbit,FALSE
golden globes,2019,77,Best Motion Picture - Drama,,Joker,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Drama,Joaquin Phoenix,Joker,TRUE
golden globes,2019,77,Best Director - Motion Picture,Todd Phillips,Joker,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Drama,Renée Zellweger,Judy,TRUE
golden globes,2019,77,Best Motion Picture - Musical or Comedy,,Knives Out,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ana de Armas,Knives Out,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Craig,Knives Out,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Late Night,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Drama,Saoirse Ronan,Little Women,FALSE
golden globes,2019,77,Best Motion Picture - Drama,,Marriage Story,FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Drama,Scarlett Johansson,Marriage Story,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Drama,Adam Driver,Marriage Story,FALSE
golden globes,2019,77,Best Screenplay - Motion Picture,Noah Baumbach,Marriage Story,FALSE
golden globes,2019,77,Best Motion Picture - Musical or Comedy,,Once Upon a Time...in Hollywood,TRUE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,Once Upon a Time...in Hollywood,FALSE
golden globes,2019,77,Best Director - Motion Picture,Quentin Tarantino,Once Upon a Time...in Hollywood,FALSE
golden globes,2019,77,Best Screenplay - Motion Picture,Quentin Tarantino,Once Upon a Time...in Hollywood,TRUE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Drama,Antonio Banderas,Pain and Glory,FALSE
golden globes,2019,77,Best Director - Motion Picture,Bong Joon Ho,Parasite,FALSE
golden globes,2019,77,Best Screenplay - Motion Picture,"Bong Joon Ho, Han Jin Won",Parasite,FALSE
golden globes,2019,77,Best Motion Picture - Musical or Comedy,,Rocketman,FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Taron Egerton,Rocketman,TRUE
golden globes,2019,77,Best Motion Picture - Drama,,"Two Popes, The",FALSE
golden globes,2019,77,Best Performance by an Actor in a Motion Picture - Drama,Jonathan Pryce,"Two Popes, The",FALSE
golden globes,2019,77,Best Screenplay - Motion Picture,Anthony McCarten,"Two Popes, The",FALSE
golden globes,2019,77,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cate Blanchett,"Where'd You Go, Bernadette",FALSE
golden globes,2020,78,Best Motion Picture - Musical or Comedy,,Borat Subsequent Moviefilm,TRUE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maria Bakalova,Borat Subsequent Moviefilm,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sacha Baron Cohen,Borat Subsequent Moviefilm,TRUE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anya Taylor-Joy,Emma.,FALSE
golden globes,2020,78,Best Motion Picture - Drama,,"Father, The",FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,"Father, The",FALSE
golden globes,2020,78,Best Screenplay - Motion Picture,"Florian Zeller, Christopher Hampton","Father, The",FALSE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,French Exit,FALSE
golden globes,2020,78,Best Motion Picture - Musical or Comedy,,Hamilton,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lin-Manuel Miranda,Hamilton,FALSE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rosamund Pike,I Care A Lot,TRUE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis,Ma Rainey's Black Bottom,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Drama,Chadwick Boseman,Ma Rainey's Black Bottom,TRUE
golden globes,2020,78,Best Motion Picture - Drama,,Mank,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Mank,FALSE
golden globes,2020,78,Best Director - Motion Picture,David Fincher,Mank,FALSE
golden globes,2020,78,Best Screenplay - Motion Picture,Jack Fincher,Mank,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Drama,Tahar Rahim,"Mauritanian, The",FALSE
golden globes,2020,78,Best Motion Picture - Musical or Comedy,,Music,FALSE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kate Hudson,Music,FALSE
golden globes,2020,78,Best Motion Picture - Drama,,Nomadland,TRUE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,Nomadland,FALSE
golden globes,2020,78,Best Director - Motion Picture,Chloe Zhao,Nomadland,TRUE
golden globes,2020,78,Best Screenplay - Motion Picture,Chloe Zhao,Nomadland,FALSE
golden globes,2020,78,Best Director - Motion Picture,Regina King,One Night in Miami...,FALSE
golden globes,2020,78,Best Motion Picture - Musical or Comedy,,Palm Springs,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Andy Samberg,Palm Springs,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dev Patel,"Personal History of David Copperfield, The",FALSE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Drama,Vanessa Kirby,Pieces of a Woman,FALSE
golden globes,2020,78,Best Motion Picture - Musical or Comedy,,"Prom, The",FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Corden,"Prom, The",FALSE
golden globes,2020,78,Best Motion Picture - Drama,,Promising Young Woman,FALSE
golden globes,2020,78,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,Promising Young Woman,FALSE
golden globes,2020,78,Best Director - Motion Picture,Emerald Fennell,Promising Young Woman,FALSE
golden globes,2020,78,Best Screenplay - Motion Picture,Emerald Fennell,Promising Young Woman,FALSE
golden globes,2020,78,Best Performance by an Actor in a Motion Picture - Drama,Riz Ahmed,Sound of Metal,FALSE
