Source,Year,Ceremony,Category,Nominee (Person),Nominee (Film),Winner
oscars,2024,97th,Actress in a Leading Role,Cynthia Erivo,Wicked,FALSE
oscars,2024,97th,Actress in a Leading Role,Karla Sofia Gascon,Emilia Perez,FALSE
oscars,2024,97th,Actress in a Leading Role,Mikey Madison,Anora,TRUE
oscars,2024,97th,Actress in a Leading Role,Demi Moore,The Substance,FALSE
oscars,2024,97th,Actress in a Leading Role,Fernanda Torres,I'm Still Here,FALSE
oscars,2024,97th,Directing,Sean Baker,Anora,TRUE
oscars,2024,97th,Directing,Brady Corbet,The Brutalist,FALSE
oscars,2024,97th,Directing,James Mangold,A Complete Unknown,FALSE
oscars,2024,97th,Directing,Coralie Fargeat,The Substance,FALSE
oscars,2024,97th,Directing,Jacques Audiard,Emilia Perez,FALSE
oscars,2024,97th,Best Picture,,The Brutalist,FALSE
oscars,2024,97th,Best Picture,,A Complete Unknown,FALSE
oscars,2024,97th,Best Picture,,Conclave,FALSE
oscars,2024,97th,Best Picture,,Dune: Part Two,FALSE
oscars,2024,97th,Best Picture,,Emilia Perez,FALSE
oscars,2024,97th,Best Picture,,I'm Still Here,FALSE
oscars,2024,97th,Best Picture,,Nickel Boys,FALSE
oscars,2024,97th,Best Picture,,The Substance,FALSE
oscars,2024,97th,Best Picture,,Wicked,FALSE
oscars,2024,97th,Best Picture,,Anora,TRUE
oscars,2024,97th,Writing (Adapted Screenplay),"James Mangold, Jay Cocks",A Complete Unknown,FALSE
oscars,2024,97th,Writing (Adapted Screenplay),Peter Straughan,Conclave,TRUE
oscars,2024,97th,Writing (Adapted Screenplay),Jacques Audiard et al.,Emilia Perez,FALSE
oscars,2024,97th,Writing (Adapted Screenplay),"RaMell Ross, Joslyn Barnes",Nickel Boys,FALSE
oscars,2024,97th,Writing (Adapted Screenplay),"Clint Bentley, Greg Kwedar et al",Sing Sing,FALSE
oscars,2024,97th,Writing (Original Screenplay),Sean Baker,Anora,TRUE
oscars,2024,97th,Writing (Original Screenplay),"Brady Corbet, Mona Fastvoid",The Brutalist,FALSE
oscars,2024,97th,Writing (Original Screenplay),Jesse Eisenberg,A Real Pain,FALSE
oscars,2024,97th,Writing (Original Screenplay),"Moritz Binder, Tim Fehlbaum",September 5,FALSE
oscars,2024,97th,Writing (Original Screenplay),Coralie Fargeat,The Substance,FALSE
oscars,2025,97th,Actor in a Leading Role ,Timothee Chalamet,Marty Supreme,FALSE
oscars,2025,97th,Actor in a Leading Role ,Leonardo DiCaprio,One Battle After Another,FALSE
oscars,2025,97th,Actor in a Leading Role ,Ethan Hawke,Blue Moon,FALSE
oscars,2025,97th,Actor in a Leading Role ,Michael B. Jordan,Sinners,TRUE
oscars,2025,97th,Actor in a Leading Role ,Wagner Moura,The Secret Agent,FALSE
oscars,2025,97th,Actress in a Leading Role,Jessie Buckley,Hamnet,TRUE
oscars,2025,97th,Actress in a Leading Role,Rose Byrne,If I Had Legs I'd Kick You,FALSE
oscars,2025,97th,Actress in a Leading Role,Kate Hudson,Song Sung Blue,FALSE
oscars,2025,97th,Actress in a Leading Role,Renate Reinsve,Sentimental Value,FALSE
oscars,2025,97th,Actress in a Leading Role,Emma Stone,Bugonia,FALSE
oscars,2025,97th,Directing,Chloe Zhao,Hamnet,FALSE
oscars,2025,97th,Directing,Josh Safdie,Marty Supreme,FALSE
oscars,2025,97th,Directing,Paul Thomas Anderson,One Battle After Another,TRUE
oscars,2025,97th,Directing,Joachim Trier,Sentimental Value,FALSE
oscars,2025,97th,Directing,Ryan Coogler,Sinners,FALSE
oscars,2025,97th,Best Picture,,Bugonia,FALSE
oscars,2025,97th,Best Picture,,F1,FALSE
oscars,2025,97th,Best Picture,,Frankenstein,FALSE
oscars,2025,97th,Best Picture,,Hamnet,FALSE
oscars,2025,97th,Best Picture,,Marty Supreme,FALSE
oscars,2025,97th,Best Picture,,One Battle After Another,TRUE
oscars,2025,97th,Best Picture,,The Secret Agent,FALSE
oscars,2025,97th,Best Picture,,Sentimental Value,FALSE
oscars,2025,97th,Best Picture,,Sinners,FALSE
oscars,2025,97th,Best Picture,,Train Dreams,FALSE
oscars,2025,97th,Writing (Adapted Screenplay),Will Tracy,Bugonia,FALSE
oscars,2025,97th,Writing (Adapted Screenplay),Guillermo del Toro,Frankenstein,FALSE
oscars,2025,97th,Writing (Adapted Screenplay),"Chloe Zhao, Maggie O'Farrell",Hamnet,FALSE
oscars,2025,97th,Writing (Adapted Screenplay),Paul Thomas Anderson,One Battle After Another,TRUE
oscars,2025,97th,Writing (Adapted Screenplay),"Clink Bentley, Greg Kwedar",Train Dreams,FALSE
oscars,2025,97th,Writing (Original Screenplay),Robert Kaplow,Blue Moon,FALSE
oscars,2025,97th,Writing (Original Screenplay),Jafar Panahi,It Was Just an Accident,FALSE
oscars,2025,97th,Writing (Original Screenplay),"Ronald Bronstein, Josh Safdie",Marty Supreme,FALSE
oscars,2025,97th,Writing (Original Screenplay),"Eskil Vogt, Joachim Trier",Sentimental Value,FALSE
oscars,2025,97th,Writing (Original Screenplay),Ryan Coogler,Sinners,TRUE
